date,channel,segment,country,product_line,currency,visitors,signups,activated,paid_customers,marketing_spend,new_customers,active_customers,retained_d1,retained_d7,retained_d30,revenue,gmv,cogs,operating_cost,price,competitor_price,units_sold
2025-01-01,search,smb,US,core,USD,1200,180,120,75,2100,75,420,52,35,21,9800,11300,4100,1900,129,132,76
2025-01-02,social,mid_market,US,core,USD,1180,170,112,70,2050,70,418,49,33,20,9550,11050,4020,1880,128,131,75
2025-01-03,affiliate,smb,US,addon,USD,1220,182,121,76,2080,76,425,53,36,22,9920,11420,4140,1910,129,131,77
2025-01-04,search,mid_market,US,core,USD,1250,186,125,78,2120,78,430,55,37,23,10080,11620,4200,1930,130,132,78
2025-01-05,social,smb,US,addon,USD,1275,188,126,79,2135,79,434,55,38,23,10160,11700,4230,1940,130,133,78
2025-01-06,affiliate,mid_market,US,core,USD,1290,191,129,80,2160,80,438,56,39,24,10340,11890,4290,1960,131,133,79
2025-01-07,search,smb,US,core,USD,1320,195,132,82,2180,82,442,57,40,24,10510,12080,4340,1980,131,134,80
2025-01-08,social,mid_market,US,addon,USD,1340,198,135,84,2200,84,447,59,41,25,10680,12260,4380,1990,132,134,81
2025-01-09,affiliate,smb,US,core,USD,1360,201,137,85,2230,85,451,60,42,25,10850,12450,4440,2010,132,135,82
2025-01-10,search,mid_market,US,core,USD,1385,204,140,87,2250,87,456,61,42,26,11030,12660,4490,2030,133,135,83
2025-01-11,social,smb,US,addon,USD,1410,208,143,89,2280,89,460,62,43,26,11220,12860,4540,2040,133,136,84
2025-01-12,affiliate,mid_market,US,core,USD,1430,211,145,90,2310,90,465,63,44,27,11370,13030,4590,2060,134,136,85
2025-01-13,search,smb,US,core,USD,1455,214,148,92,2330,92,470,64,45,27,11580,13240,4660,2080,134,137,86
2025-01-14,social,mid_market,US,addon,USD,1480,218,151,94,2360,94,476,66,46,28,11770,13440,4720,2100,135,137,87
2025-01-15,affiliate,smb,US,core,USD,1500,220,153,95,2380,95,480,66,47,28,11920,13610,4760,2110,135,138,88
2025-01-16,search,mid_market,US,core,USD,1525,224,156,97,2410,97,486,67,48,29,12130,13830,4830,2130,136,138,89
2025-01-17,social,smb,US,addon,USD,1550,227,159,99,2440,99,491,69,49,30,12320,14050,4890,2140,136,139,90
2025-01-18,affiliate,mid_market,US,core,USD,1575,230,161,100,2460,100,497,70,50,30,12490,14210,4930,2160,137,139,91
2025-01-19,search,smb,US,core,USD,1600,234,164,102,2490,102,503,71,50,31,12720,14470,5000,2180,137,140,92
2025-01-20,social,mid_market,US,addon,USD,1630,238,167,104,2520,104,509,72,51,31,12910,14680,5060,2200,138,140,93
2025-01-21,affiliate,smb,US,core,USD,1660,241,170,106,2550,106,515,74,52,32,13140,14930,5140,2210,138,141,95
2025-01-22,search,mid_market,US,core,USD,1690,245,173,108,2580,108,521,75,53,32,13330,15150,5200,2230,139,141,96
2025-01-23,social,smb,US,addon,USD,1720,248,176,110,2610,110,527,76,54,33,13560,15410,5280,2250,139,142,97
2025-01-24,affiliate,mid_market,US,core,USD,1750,252,179,112,2640,112,533,77,55,34,13780,15660,5350,2270,140,142,98
2025-01-25,search,smb,US,core,USD,1780,255,182,113,2670,113,540,79,56,34,13930,15820,5390,2280,140,143,99
2025-01-26,social,mid_market,US,addon,USD,1810,259,185,115,2710,115,546,80,57,35,14170,16090,5470,2300,141,143,101
2025-01-27,affiliate,smb,US,core,USD,1840,262,188,117,2740,117,552,82,58,36,14410,16370,5550,2320,141,144,102
2025-01-28,search,mid_market,US,core,USD,1870,266,191,119,2770,119,558,83,59,36,14610,16590,5610,2330,142,144,103
2025-01-29,social,smb,US,addon,USD,1900,270,194,121,2810,121,565,85,60,37,14870,16880,5700,2350,142,145,105
2025-01-30,affiliate,mid_market,US,core,USD,1930,274,197,123,2840,123,572,86,61,38,15110,17150,5780,2370,143,145,106
2025-01-31,search,smb,US,core,USD,1960,278,200,124,2880,124,578,87,62,38,15320,17380,5840,2380,143,146,107
2025-02-01,social,mid_market,US,addon,USD,1990,282,203,126,2910,126,585,88,63,39,15580,17690,5930,2400,144,146,108
2025-02-02,affiliate,smb,US,core,USD,2020,286,206,128,2950,128,592,90,64,40,15810,17940,6010,2420,144,147,110
2025-02-03,search,mid_market,US,core,USD,2050,290,209,130,2980,130,599,91,65,40,16020,18180,6070,2430,145,147,111
2025-02-04,social,smb,US,addon,USD,2080,294,212,132,3020,132,606,92,66,41,16290,18490,6160,2450,145,148,112
